raw_name,canonical_name,match_method,confidence,record_type
Algen Biotechnologies,Algen Biotechnologies,unresolved,0.0,STARTUP
Roboflow,Roboflow,unresolved,0.0,STARTUP
inFeedo AI,inFeedo AI,unresolved,0.0,STARTUP
Datafold,Datafold,unresolved,0.0,STARTUP
Hypotenuse AI,Hypotenuse AI,unresolved,0.0,STARTUP
CoreCare,CoreCare,unresolved,0.0,STARTUP
Humanloop,Humanloop,unresolved,0.0,STARTUP
Nextera Robotics | DIDGE.ai,Nextera Robotics | DIDGE.ai,unresolved,0.0,STARTUP
BIK,BIK,unresolved,0.0,STARTUP
Aquarium Learning,Aquarium Learning,unresolved,0.0,STARTUP
Dataland,Dataland,unresolved,0.0,STARTUP
Mito,Mito,unresolved,0.0,STARTUP
"Warmly,","Warmly,",unresolved,0.0,STARTUP
Heron Data,Heron Data,unresolved,0.0,STARTUP
Degrees of Freedom,Degrees of Freedom,unresolved,0.0,STARTUP
Humaans,Humaans,unresolved,0.0,STARTUP
RocketSDR,RocketSDR,unresolved,0.0,STARTUP
Flux Auto,Flux Auto,unresolved,0.0,STARTUP
Avocado,Avocado,unresolved,0.0,STARTUP
Pragmatic Leaders (Ankai Inc),Pragmatic Leaders (Ankai Inc),unresolved,0.0,STARTUP
Encord,Encord,unresolved,0.0,STARTUP
Cyble,Cyble,unresolved,0.0,STARTUP
Expent Inc,Expent Inc,unresolved,0.0,STARTUP
Version Story Compare,Version Story Compare,unresolved,0.0,STARTUP
Parsagon,Parsagon,unresolved,0.0,STARTUP
Quadrant Health,Quadrant Health,unresolved,0.0,STARTUP
Popl,Popl,unresolved,0.0,STARTUP
Fathom,Fathom,unresolved,0.0,STARTUP
LiveFlow,LiveFlow,unresolved,0.0,STARTUP
Datrics,Datrics,unresolved,0.0,STARTUP
Tractian,Tractian,unresolved,0.0,STARTUP
unSurvey,unSurvey,unresolved,0.0,STARTUP
Reclaim Protocol,Reclaim Protocol,unresolved,0.0,STARTUP
Biodock,Biodock,unresolved,0.0,STARTUP
Lamar Health,Lamar Health,unresolved,0.0,STARTUP
Rejoy Health,Rejoy Health,unresolved,0.0,STARTUP
Gigs,Gigs,unresolved,0.0,STARTUP
Friz,Friz,unresolved,0.0,STARTUP
MindPortal,MindPortal,unresolved,0.0,STARTUP
Waydev,Waydev,unresolved,0.0,STARTUP
AXAR AI,AXAR AI,unresolved,0.0,STARTUP
Journey,Journey,unresolved,0.0,STARTUP
Legion Health,Legion Health,unresolved,0.0,STARTUP
Superwall,Superwall,unresolved,0.0,STARTUP
Mindstate Design Labs,Mindstate Design Labs,unresolved,0.0,STARTUP
Jestor,Jestor,unresolved,0.0,STARTUP
Potion,Potion,unresolved,0.0,STARTUP
Replo,Replo,unresolved,0.0,STARTUP
FirstQuadrant,FirstQuadrant,unresolved,0.0,STARTUP
Kalam Labs,Kalam Labs,unresolved,0.0,STARTUP
Affogato AI,Affogato AI,unresolved,0.0,STARTUP
Coulomb AI,Coulomb AI,unresolved,0.0,STARTUP
Confido,Confido,unresolved,0.0,STARTUP
Instalab,Instalab,unresolved,0.0,STARTUP
RGI Labs,RGI Labs,unresolved,0.0,STARTUP
Soco,Soco,unresolved,0.0,STARTUP
SnapCalorie,SnapCalorie,unresolved,0.0,STARTUP
Kaya,Kaya,unresolved,0.0,STARTUP
Redbean,Redbean,unresolved,0.0,STARTUP
Hyperbrowser,Hyperbrowser,unresolved,0.0,STARTUP
Tiriel AI,Tiriel AI,unresolved,0.0,STARTUP
DigiBuild,DigiBuild,unresolved,0.0,STARTUP
OneStopKitchen,OneStopKitchen,unresolved,0.0,STARTUP
Scispot,Scispot,unresolved,0.0,STARTUP
Coinrule,Coinrule,unresolved,0.0,STARTUP
Malloc Inc,Malloc Inc,unresolved,0.0,STARTUP
ShipBlu,ShipBlu,unresolved,0.0,STARTUP
GetDot,GetDot,unresolved,0.0,STARTUP
Miniloop,Miniloop,unresolved,0.0,STARTUP
OneSchema,OneSchema,unresolved,0.0,STARTUP
Forage Mail,Forage Mail,unresolved,0.0,STARTUP
aSim,aSim,unresolved,0.0,STARTUP
Spark Studio,Spark Studio,unresolved,0.0,STARTUP
Mach9,Mach9,unresolved,0.0,STARTUP
Tenyks,Tenyks,unresolved,0.0,STARTUP
Telmai,Telmai,unresolved,0.0,STARTUP
Zuma,Zuma,unresolved,0.0,STARTUP
Shape,Shape,unresolved,0.0,STARTUP
ContraForce,ContraForce,unresolved,0.0,STARTUP
Output Biosciences,Output Biosciences,unresolved,0.0,STARTUP
Bytebot,Bytebot,unresolved,0.0,STARTUP
Exa,Exa,unresolved,0.0,STARTUP
Attack Capital,Attack Capital,unresolved,0.0,STARTUP
SilkChart,SilkChart,unresolved,0.0,STARTUP
Strac,Strac,unresolved,0.0,STARTUP
Sieve,Sieve,unresolved,0.0,STARTUP
PolicyFly,PolicyFly,unresolved,0.0,STARTUP
Sota2,Sota2,unresolved,0.0,STARTUP
Sei AI,Sei AI,unresolved,0.0,STARTUP
Axross Pte Ltd,Axross Pte Ltd,unresolved,0.0,STARTUP
Spinach AI,Spinach AI,unresolved,0.0,STARTUP
Nyckel,Nyckel,unresolved,0.0,STARTUP
Gym Class,Gym Class,unresolved,0.0,STARTUP
Kaso,Kaso,unresolved,0.0,STARTUP
Bobidi,Bobidi,unresolved,0.0,STARTUP
Criya,Criya,unresolved,0.0,STARTUP
haddock,haddock,unresolved,0.0,STARTUP
Cerebrium,Cerebrium,unresolved,0.0,STARTUP
Versable,Versable,unresolved,0.0,STARTUP
Dart,Dart,unresolved,0.0,STARTUP
Flagright,Flagright,unresolved,0.0,STARTUP
T3 Chat,T3 Chat,unresolved,0.0,STARTUP
Sphere,Sphere,unresolved,0.0,STARTUP
RefineTrain AI,RefineTrain AI,unresolved,0.0,STARTUP
PermitFlow,PermitFlow,unresolved,0.0,STARTUP
Siftly,Siftly,unresolved,0.0,STARTUP
Velt,Velt,unresolved,0.0,STARTUP
Curacel,Curacel,unresolved,0.0,STARTUP
Finnt,Finnt,unresolved,0.0,STARTUP
Lovage,Lovage,unresolved,0.0,STARTUP
SmartHelio,SmartHelio,unresolved,0.0,STARTUP
Airwork,Airwork,unresolved,0.0,STARTUP
Cinder,Cinder,unresolved,0.0,STARTUP
BotCity,BotCity,unresolved,0.0,STARTUP
Vimmerse,Vimmerse,unresolved,0.0,STARTUP
Broccoli AI,Broccoli AI,unresolved,0.0,STARTUP
Bemlo,Bemlo,unresolved,0.0,STARTUP
Talentropy.ai,Talentropy.ai,unresolved,0.0,STARTUP
mutable.ai,mutable.ai,unresolved,0.0,STARTUP
Theneo,Theneo,unresolved,0.0,STARTUP
Ponyrun,Ponyrun,unresolved,0.0,STARTUP
Top Road,Top Road,unresolved,0.0,STARTUP
HOAi,HOAi,unresolved,0.0,STARTUP
Status,Status,unresolved,0.0,STARTUP
Shaped,Shaped,unresolved,0.0,STARTUP
Ploomber,Ploomber,unresolved,0.0,STARTUP
Housewarming,Housewarming,unresolved,0.0,STARTUP
Blink,Blink,unresolved,0.0,STARTUP
Workflow86,Workflow86,unresolved,0.0,STARTUP
Codec,Codec,unresolved,0.0,STARTUP
Postal,Postal,unresolved,0.0,STARTUP
AYC Fund,AYC Fund,unresolved,0.0,STARTUP
Kenobi,Kenobi,unresolved,0.0,STARTUP
Query Vary,Query Vary,unresolved,0.0,STARTUP
MSPilot,MSPilot,unresolved,0.0,STARTUP
Poly,Poly,unresolved,0.0,STARTUP
Layerup,Layerup,unresolved,0.0,STARTUP
Paces,Paces,unresolved,0.0,STARTUP
Airtrain AI,Airtrain AI,unresolved,0.0,STARTUP
Star,Star,unresolved,0.0,STARTUP
Julius,Julius,unresolved,0.0,STARTUP
Dialect,Dialect,unresolved,0.0,STARTUP
SigmaMind AI,SigmaMind AI,unresolved,0.0,STARTUP
Superpowered AI,Superpowered AI,unresolved,0.0,STARTUP
Makeasite,Makeasite,unresolved,0.0,STARTUP
Pasito,Pasito,unresolved,0.0,STARTUP
Blitz,Blitz,unresolved,0.0,STARTUP
Impractical,Impractical,unresolved,0.0,STARTUP
CustomerOS,CustomerOS,unresolved,0.0,STARTUP
CODEXA,CODEXA,unresolved,0.0,STARTUP
Paragon AI,Paragon AI,unresolved,0.0,STARTUP
Midplane,Midplane,unresolved,0.0,STARTUP
Blee,Blee,unresolved,0.0,STARTUP
Activepieces,Activepieces,unresolved,0.0,STARTUP
Popsy,Popsy,unresolved,0.0,STARTUP
Juicebox,Juicebox,unresolved,0.0,STARTUP
Phind,Phind,unresolved,0.0,STARTUP
Unify,Unify,unresolved,0.0,STARTUP
Mistle,Mistle,unresolved,0.0,STARTUP
100x,100x,unresolved,0.0,STARTUP
Hedgehog,Hedgehog,unresolved,0.0,STARTUP
Latent Space,Latent Space,unresolved,0.0,STARTUP
AviaryAI,AviaryAI,unresolved,0.0,STARTUP
Quinn,Quinn,unresolved,0.0,STARTUP
Aurelian,Aurelian,unresolved,0.0,STARTUP
Metriport,Metriport,unresolved,0.0,STARTUP
Fini,Fini,unresolved,0.0,STARTUP
Atlas,Atlas,unresolved,0.0,STARTUP
Sanifu,Sanifu,unresolved,0.0,STARTUP
HOMLI,HOMLI,unresolved,0.0,STARTUP
Boton,Boton,unresolved,0.0,STARTUP
Avina,Avina,unresolved,0.0,STARTUP
Invofox,Invofox,unresolved,0.0,STARTUP
TypeLess,TypeLess,unresolved,0.0,STARTUP
Firecrawl,Firecrawl,unresolved,0.0,STARTUP
Wondercraft,Wondercraft,unresolved,0.0,STARTUP
Clearline,Clearline,unresolved,0.0,STARTUP
Monterey AI,Monterey AI,unresolved,0.0,STARTUP
Delfino AI,Delfino AI,unresolved,0.0,STARTUP
Intuned,Intuned,unresolved,0.0,STARTUP
Polymath Robotics,Polymath Robotics,unresolved,0.0,STARTUP
Sameday,Sameday,unresolved,0.0,STARTUP
zudo.work,zudo.work,unresolved,0.0,STARTUP
Middleware,Middleware,unresolved,0.0,STARTUP
StackAI,StackAI,unresolved,0.0,STARTUP
Designbase,Designbase,unresolved,0.0,STARTUP
Blyss,Blyss,unresolved,0.0,STARTUP
Trigger.dev,Trigger.dev,unresolved,0.0,STARTUP
Paperplane,Paperplane,unresolved,0.0,STARTUP
Lume,Lume,unresolved,0.0,STARTUP
Concourse,Concourse,unresolved,0.0,STARTUP
Backdrop,Backdrop,unresolved,0.0,STARTUP
Demospace,Demospace,unresolved,0.0,STARTUP
Brewit,Brewit,unresolved,0.0,STARTUP
Palomma,Palomma,unresolved,0.0,STARTUP
Ohm,Ohm,unresolved,0.0,STARTUP
Salient,Salient,unresolved,0.0,STARTUP
Dataglade,Dataglade,unresolved,0.0,STARTUP
CreatorML,CreatorML,unresolved,0.0,STARTUP
Scanbase,Scanbase,unresolved,0.0,STARTUP
Bluebirds,Bluebirds,unresolved,0.0,STARTUP
Gooseworks,Gooseworks,unresolved,0.0,STARTUP
Frigade,Frigade,unresolved,0.0,STARTUP
Haven,Haven,unresolved,0.0,STARTUP
coil inc.,coil inc.,unresolved,0.0,STARTUP
Outerbase,Outerbase,unresolved,0.0,STARTUP
co.dev,co.dev,unresolved,0.0,STARTUP
Langfuse,Langfuse,unresolved,0.0,STARTUP
Extend,Extend,unresolved,0.0,STARTUP
Floworks,Floworks,unresolved,0.0,STARTUP
Iliad,Iliad,unresolved,0.0,STARTUP
EzDubs,EzDubs,unresolved,0.0,STARTUP
Wild Moose,Wild Moose,unresolved,0.0,STARTUP
ShortLoop,ShortLoop,unresolved,0.0,STARTUP
Truewind,Truewind,unresolved,0.0,STARTUP
TableFlow,TableFlow,unresolved,0.0,STARTUP
KV Cash,KV Cash,unresolved,0.0,STARTUP
Magicflow 𐂂,Magicflow 𐂂,unresolved,0.0,STARTUP
222,222,unresolved,0.0,STARTUP
Boundary,Boundary,unresolved,0.0,STARTUP
SensorSurf,SensorSurf,unresolved,0.0,STARTUP
Hadrius,Hadrius,unresolved,0.0,STARTUP
Fairway Health,Fairway Health,unresolved,0.0,STARTUP
Sherloq,Sherloq,unresolved,0.0,STARTUP
Finic,Finic,unresolved,0.0,STARTUP
Hippo Scribe,Hippo Scribe,unresolved,0.0,STARTUP
SuperKalam,SuperKalam,unresolved,0.0,STARTUP
Pylon,Pylon,unresolved,0.0,STARTUP
Epsilon,Epsilon,unresolved,0.0,STARTUP
Helios,Helios,unresolved,0.0,STARTUP
Hindsight,Hindsight,unresolved,0.0,STARTUP
OpenInt,OpenInt,unresolved,0.0,STARTUP
Decohere,Decohere,unresolved,0.0,STARTUP
CodeParrot AI,CodeParrot AI,unresolved,0.0,STARTUP
Berry,Berry,unresolved,0.0,STARTUP
Fabius,Fabius,unresolved,0.0,STARTUP
Metal,Metal,unresolved,0.0,STARTUP
Persana AI,Persana AI,unresolved,0.0,STARTUP
Adri AI,Adri AI,unresolved,0.0,STARTUP
Second,Second,unresolved,0.0,STARTUP
Warp,Warp,unresolved,0.0,STARTUP
Fetchr,Fetchr,unresolved,0.0,STARTUP
Yuma AI,Yuma AI,unresolved,0.0,STARTUP
kapa.ai,kapa.ai,unresolved,0.0,STARTUP
Metoro,Metoro,unresolved,0.0,STARTUP
Accend,Accend,unresolved,0.0,STARTUP
Remy,Remy,unresolved,0.0,STARTUP
Diligent,Diligent,unresolved,0.0,STARTUP
Readily,Readily,unresolved,0.0,STARTUP
Cedana,Cedana,unresolved,0.0,STARTUP
OpenTools,OpenTools,unresolved,0.0,STARTUP
Atla,Atla,unresolved,0.0,STARTUP
Mandel AI,Mandel AI,unresolved,0.0,STARTUP
Prosper,Prosper,unresolved,0.0,STARTUP
Subsets,Subsets,unresolved,0.0,STARTUP
GreenTally,GreenTally,unresolved,0.0,STARTUP
Baud,Baud,unresolved,0.0,STARTUP
SID,SID,unresolved,0.0,STARTUP
Alguna,Alguna,unresolved,0.0,STARTUP
Campfire,Campfire,unresolved,0.0,STARTUP
Punchcard,Punchcard,unresolved,0.0,STARTUP
Kite,Kite,unresolved,0.0,STARTUP
Obento Health,Obento Health,unresolved,0.0,STARTUP
Docsum,Docsum,unresolved,0.0,STARTUP
Corgea,Corgea,unresolved,0.0,STARTUP
Outset,Outset,unresolved,0.0,STARTUP
Shasta Health,Shasta Health,unresolved,0.0,STARTUP
Health Harbor,Health Harbor,unresolved,0.0,STARTUP
FleetWorks,FleetWorks,unresolved,0.0,STARTUP
Repaint,Repaint,unresolved,0.0,STARTUP
Dialtone,Dialtone,unresolved,0.0,STARTUP
Numen,Numen,unresolved,0.0,STARTUP
Epsilla,Epsilla,unresolved,0.0,STARTUP
Sidenote,Sidenote,unresolved,0.0,STARTUP
Unhaze,Unhaze,unresolved,0.0,STARTUP
Surface Labs,Surface Labs,unresolved,0.0,STARTUP
Midrender,Midrender,unresolved,0.0,STARTUP
Vizly,Vizly,unresolved,0.0,STARTUP
Empirical Health,Empirical Health,unresolved,0.0,STARTUP
Glade,Glade,unresolved,0.0,STARTUP
Studdy,Studdy,unresolved,0.0,STARTUP
Bolto,Bolto,unresolved,0.0,STARTUP
Flint,Flint,unresolved,0.0,STARTUP
Vango AI,Vango AI,unresolved,0.0,STARTUP
Automorphic,Automorphic,unresolved,0.0,STARTUP
Baserun,Baserun,unresolved,0.0,STARTUP
Andromeda Surgical,Andromeda Surgical,unresolved,0.0,STARTUP
sudocode,sudocode,unresolved,0.0,STARTUP
Langdock,Langdock,unresolved,0.0,STARTUP
Elythea,Elythea,unresolved,0.0,STARTUP
Cedalio,Cedalio,unresolved,0.0,STARTUP
Fiber AI,Fiber AI,unresolved,0.0,STARTUP
Strada,Strada,unresolved,0.0,STARTUP
Webhound,Webhound,unresolved,0.0,STARTUP
dili,dili,unresolved,0.0,STARTUP
Saatvy,Saatvy,unresolved,0.0,STARTUP
Giga,Giga,unresolved,0.0,STARTUP
AiSDR,AiSDR,unresolved,0.0,STARTUP
Nowadays,Nowadays,unresolved,0.0,STARTUP
Morph,Morph,unresolved,0.0,STARTUP
Constructable,Constructable,unresolved,0.0,STARTUP
Cognitio Labs,Cognitio Labs,unresolved,0.0,STARTUP
Tempo,Tempo,unresolved,0.0,STARTUP
CodeStory,CodeStory,unresolved,0.0,STARTUP
Letterbook,Letterbook,unresolved,0.0,STARTUP
Goldbridge,Goldbridge,unresolved,0.0,STARTUP
Onyx,Onyx,unresolved,0.0,STARTUP
Event Horizon Labs,Event Horizon Labs,unresolved,0.0,STARTUP
Upsolve AI,Upsolve AI,unresolved,0.0,STARTUP
Navier AI,Navier AI,unresolved,0.0,STARTUP
ego,ego,unresolved,0.0,STARTUP
Cora,Cora,unresolved,0.0,STARTUP
Greptile,Greptile,unresolved,0.0,STARTUP
Ubicloud,Ubicloud,unresolved,0.0,STARTUP
Duckie,Duckie,unresolved,0.0,STARTUP
ion design,ion design,unresolved,0.0,STARTUP
Sonia,Sonia,unresolved,0.0,STARTUP
Kabilah,Kabilah,unresolved,0.0,STARTUP
Tracecat,Tracecat,unresolved,0.0,STARTUP
Precip,Precip,unresolved,0.0,STARTUP
Nuanced,Nuanced,unresolved,0.0,STARTUP
Poka Labs,Poka Labs,unresolved,0.0,STARTUP
Andon Labs,Andon Labs,unresolved,0.0,STARTUP
Reducto,Reducto,unresolved,0.0,STARTUP
Tuesday Labs,Tuesday Labs,unresolved,0.0,STARTUP
Saga AI,Saga AI,unresolved,0.0,STARTUP
Quary,Quary,unresolved,0.0,STARTUP
Alex,Alex,unresolved,0.0,STARTUP
AveryIQ,AveryIQ,unresolved,0.0,STARTUP
Patchwork,Patchwork,unresolved,0.0,STARTUP
Arini,Arini,unresolved,0.0,STARTUP
Simplex,Simplex,unresolved,0.0,STARTUP
Greenboard,Greenboard,unresolved,0.0,STARTUP
Trellis AI,Trellis AI,unresolved,0.0,STARTUP
Topo,Topo,unresolved,0.0,STARTUP
Panelytic,Panelytic,unresolved,0.0,STARTUP
Copper Health,Copper Health,unresolved,0.0,STARTUP
Glimmer,Glimmer,unresolved,0.0,STARTUP
PromptArmor,PromptArmor,unresolved,0.0,STARTUP
Respan,Respan,unresolved,0.0,STARTUP
Monumint,Monumint,unresolved,0.0,STARTUP
Central,Central,unresolved,0.0,STARTUP
Speck,Speck,unresolved,0.0,STARTUP
Decipher AI,Decipher AI,unresolved,0.0,STARTUP
InQuery,InQuery,unresolved,0.0,STARTUP
PandasAI,PandasAI,unresolved,0.0,STARTUP
Vibrant Labs,Vibrant Labs,unresolved,0.0,STARTUP
Feldy,Feldy,unresolved,0.0,STARTUP
crmCopilot,crmCopilot,unresolved,0.0,STARTUP
NanoCorp,NanoCorp,unresolved,0.0,STARTUP
Centralize,Centralize,unresolved,0.0,STARTUP
Salvy,Salvy,unresolved,0.0,STARTUP
Aedilic,Aedilic,unresolved,0.0,STARTUP
Pazi,Pazi,unresolved,0.0,STARTUP
Ellipsis,Ellipsis,unresolved,0.0,STARTUP
Browser Buddy,Browser Buddy,unresolved,0.0,STARTUP
Sagaland,Sagaland,unresolved,0.0,STARTUP
Superagent,Superagent,unresolved,0.0,STARTUP
Carma,Carma,unresolved,0.0,STARTUP
Toma,Toma,unresolved,0.0,STARTUP
Whip,Whip,unresolved,0.0,STARTUP
Trieve,Trieve,unresolved,0.0,STARTUP
Conduit,Conduit,unresolved,0.0,STARTUP
Soundry AI,Soundry AI,unresolved,0.0,STARTUP
Overeasy,Overeasy,unresolved,0.0,STARTUP
Clarum,Clarum,unresolved,0.0,STARTUP
Centauri AI,Centauri AI,unresolved,0.0,STARTUP
Raindrop,Raindrop,unresolved,0.0,STARTUP
Yondu,Yondu,unresolved,0.0,STARTUP
Lumetric,Lumetric,unresolved,0.0,STARTUP
Openmart,Openmart,unresolved,0.0,STARTUP
Spark,Spark,unresolved,0.0,STARTUP
Retell AI,Retell AI,unresolved,0.0,STARTUP
Aqua Voice,Aqua Voice,unresolved,0.0,STARTUP
Fluently,Fluently,unresolved,0.0,STARTUP
CommodityAI,CommodityAI,unresolved,0.0,STARTUP
Marblism,Marblism,unresolved,0.0,STARTUP
Arcane,Arcane,unresolved,0.0,STARTUP
OpenFoundry,OpenFoundry,unresolved,0.0,STARTUP
Spur,Spur,unresolved,0.0,STARTUP
Reform,Reform,unresolved,0.0,STARTUP
Integuru,Integuru,unresolved,0.0,STARTUP
Latted,Latted,unresolved,0.0,STARTUP
Dragoneye,Dragoneye,unresolved,0.0,STARTUP
Mathos,Mathos,unresolved,0.0,STARTUP
InspectMind AI,InspectMind AI,unresolved,0.0,STARTUP
RetailReady,RetailReady,unresolved,0.0,STARTUP
K-Scale Labs,K-Scale Labs,unresolved,0.0,STARTUP
Coval,Coval,unresolved,0.0,STARTUP
Ångström AI,Ångström AI,unresolved,0.0,STARTUP
Ultra,Ultra,unresolved,0.0,STARTUP
Undermind,Undermind,unresolved,0.0,STARTUP
Superunit,Superunit,unresolved,0.0,STARTUP
Doublezero,Doublezero,unresolved,0.0,STARTUP
Variant,Variant,unresolved,0.0,STARTUP
Understood Care,Understood Care,unresolved,0.0,STARTUP
Cheers,Cheers,unresolved,0.0,STARTUP
Mem0,Mem0,unresolved,0.0,STARTUP
Saphira AI,Saphira AI,unresolved,0.0,STARTUP
Entangl,Entangl,unresolved,0.0,STARTUP
Codes Health,Codes Health,unresolved,0.0,STARTUP
Unsloth AI,Unsloth AI,unresolved,0.0,STARTUP
Random Labs,Random Labs,unresolved,0.0,STARTUP
DigitalCarbon,DigitalCarbon,unresolved,0.0,STARTUP
Bayesline,Bayesline,unresolved,0.0,STARTUP
Sage Care,Sage Care,unresolved,0.0,STARTUP
Maitai,Maitai,unresolved,0.0,STARTUP
Wordware,Wordware,unresolved,0.0,STARTUP
Stardrift,Stardrift,unresolved,0.0,STARTUP
Cloudglue,Cloudglue,unresolved,0.0,STARTUP
Willow,Willow,unresolved,0.0,STARTUP
Proxis,Proxis,unresolved,0.0,STARTUP
Scape,Scape,unresolved,0.0,STARTUP
"DeepSim, Inc.","DeepSim, Inc.",unresolved,0.0,STARTUP
Dodo,Dodo,unresolved,0.0,STARTUP
Parahelp,Parahelp,unresolved,0.0,STARTUP
camfer,camfer,unresolved,0.0,STARTUP
Gauge,Gauge,unresolved,0.0,STARTUP
Dench.com,Dench.com,unresolved,0.0,STARTUP
LedgerUp,LedgerUp,unresolved,0.0,STARTUP
Mito Health,Mito Health,unresolved,0.0,STARTUP
Fazeshift,Fazeshift,unresolved,0.0,STARTUP
CreativeMode,CreativeMode,unresolved,0.0,STARTUP
cmux,cmux,unresolved,0.0,STARTUP
Panora,Panora,unresolved,0.0,STARTUP
Clearly AI,Clearly AI,unresolved,0.0,STARTUP
Zoa Research,Zoa Research,unresolved,0.0,STARTUP
